Year,Month,SiteID,Type,lat,lon,GPP,Mod17a2,gpp_lue_LAI,gpp_lue_CI,gpp_lue_MCMC
2011,3,AU-ASM,ENF,-22.283,133.249,4.6016,2.125,0.644548725,3.318366887,3.625273445
2011,4,AU-ASM,ENF,-22.283,133.249,3.32465,2.295833333,1.31173535,3.573814243,4.144367848
2011,5,AU-ASM,ENF,-22.283,133.249,1.31089,1.75,0.53843628,3.404234545,2.927535264
2011,6,AU-ASM,ENF,-22.283,133.249,0.558944,1.4,0.197918816,2.651127452,2.073925518
2011,7,AU-ASM,ENF,-22.283,133.249,0.407222,1.371875,0.131970339,2.761034701,2.019192277
2011,8,AU-ASM,ENF,-22.283,133.249,0.221146,1.390625,0.239163773,2.873296567,2.259523946
2011,9,AU-ASM,ENF,-22.283,133.249,0.0810882,1.134375,0,0,0
2011,10,AU-ASM,ENF,-22.283,133.249,0.0744917,0.708333333,0,0,0
2011,11,AU-ASM,ENF,-22.283,133.249,0.154793,0.684375,0,0,0
2011,12,AU-ASM,ENF,-22.283,133.249,0.0593558,0.384375,0,0,0
2012,1,AU-ASM,ENF,-22.283,133.249,0.340149,0.446875,0,0,0
2012,2,AU-ASM,ENF,-22.283,133.249,0.195831,0.61875,0,0,0
2012,3,AU-ASM,ENF,-22.283,133.249,1.79558,1.36875,0.300234003,2.208159723,2.412386297
2012,4,AU-ASM,ENF,-22.283,133.249,0.728816,1.209375,0.288534824,1.886666906,2.187870195
2012,5,AU-ASM,ENF,-22.283,133.249,0.403673,0.8875,0.103874604,1.773202379,1.524898601
2012,6,AU-ASM,ENF,-22.283,133.249,0.216247,0.79375,0.053740444,1.583680082,1.238882171
2012,7,AU-ASM,ENF,-22.283,133.249,0.20467,0.996875,0.076502235,2.134068688,1.560681223
2012,8,AU-ASM,ENF,-22.283,133.249,0.343033,0.9875,0.105156235,2.052926736,1.614395524
2012,9,AU-ASM,ENF,-22.283,133.249,0.316716,0.78125,0,0,0
2012,10,AU-ASM,ENF,-22.283,133.249,0.201018,0.475,0,0,0
2012,11,AU-ASM,ENF,-22.283,133.249,0.294625,0.2875,0,0,0
2012,12,AU-ASM,ENF,-22.283,133.249,0.596304,0.29375,0,0,0
2013,1,AU-ASM,ENF,-22.283,133.249,0.419663,0.2375,0,0,0
2013,2,AU-ASM,ENF,-22.283,133.249,0.185955,0.56875,0,0,0
2013,3,AU-ASM,ENF,-22.283,133.249,0.175096,0.55625,0,0,0
2013,4,AU-ASM,ENF,-22.283,133.249,0.143125,0.641666667,0,0,0
2013,5,AU-ASM,ENF,-22.283,133.249,0.373957,0.609375,0.053174251,1.21028888,1.040810593
2013,6,AU-ASM,ENF,-22.283,133.249,0.277388,0.534375,0.027385797,1.008791921,0.789158328
2013,7,AU-ASM,ENF,-22.283,133.249,0.123971,0.553125,0.022079659,1.231846591,0.900870649
2013,8,AU-ASM,ENF,-22.283,133.249,0.239237,0.584375,0.031253501,1.220301357,0.959629496
2013,9,AU-ASM,ENF,-22.283,133.249,0.49081,0.4375,0,0,0
2013,10,AU-ASM,ENF,-22.283,133.249,0.221483,0.354166667,0,0,0
